satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
0,satisfied,Male,Loyal Customer,56,Business travel,Eco Plus,2176,5,5,5,5,5,5,5,5,1,4,1,3,2,5,0,10.0
1,satisfied,Female,Loyal Customer,29,Business travel,Eco Plus,1406,5,5,5,5,5,4,5,5,2,3,4,4,5,5,0,0.0
2,satisfied,Male,Loyal Customer,44,Personal Travel,Eco,1754,4,4,3,2,3,3,3,3,3,4,4,5,5,3,0,0.0
3,satisfied,Female,Loyal Customer,36,Business travel,Business,2717,5,5,5,5,2,3,1,4,4,4,4,4,4,1,0,0.0
4,satisfied,Female,Loyal Customer,20,Personal Travel,Eco,2250,2,2,2,2,5,3,4,3,3,4,3,3,3,3,0,6.0
5,satisfied,Female,Loyal Customer,45,Personal Travel,Eco,1050,3,3,3,3,2,4,4,4,4,4,4,4,4,4,0,0.0
6,dissatisfied,Female,Loyal Customer,19,Business travel,Eco Plus,1592,3,5,5,5,3,4,1,3,4,4,4,2,4,3,67,43.0
7,satisfied,Female,Loyal Customer,47,Personal Travel,Eco,257,4,5,4,2,4,2,2,3,3,4,3,5,3,3,3,0.0
8,satisfied,Female,disloyal Customer,38,Business travel,Business,1713,4,5,5,4,2,5,2,2,5,5,4,4,4,2,19,22.0
9,dissatisfied,Male,disloyal Customer,23,Business travel,Eco,1237,3,4,3,2,5,3,1,5,3,4,4,4,4,5,93,93.0
10,dissatisfied,Female,disloyal Customer,26,Business travel,Eco,1800,3,3,3,3,1,3,1,1,1,4,2,3,3,1,0,0.0
11,dissatisfied,Female,Loyal Customer,24,Personal Travel,Eco,1614,4,0,5,1,2,5,2,2,5,5,4,4,4,2,44,41.0
12,dissatisfied,Male,Loyal Customer,35,Business travel,Business,3763,3,1,1,1,3,4,4,3,3,3,3,3,3,3,3,0.0
13,dissatisfied,Female,Loyal Customer,27,Business travel,Business,4359,3,3,3,3,3,3,3,3,3,4,3,1,3,3,0,0.0
14,satisfied,Female,Loyal Customer,39,Personal Travel,Eco,2306,2,2,2,2,3,3,5,4,4,4,4,5,4,5,0,0.0
15,satisfied,Female,Loyal Customer,31,Personal Travel,Eco,2161,2,2,2,2,4,4,4,4,3,3,5,3,5,4,27,27.0
16,dissatisfied,Female,Loyal Customer,59,Business travel,Business,1585,4,5,5,5,3,4,4,2,2,2,4,4,2,1,0,0.0
17,satisfied,Female,Loyal Customer,7,Personal Travel,Eco,1780,3,3,3,3,4,5,5,4,4,4,4,3,4,4,0,0.0
18,dissatisfied,Female,Loyal Customer,29,Personal Travel,Eco,1460,4,3,4,3,4,4,4,4,4,1,4,1,4,4,0,0.0
19,dissatisfied,Female,disloyal Customer,24,Business travel,Eco,1755,3,4,3,4,5,3,5,5,5,4,5,3,5,5,0,0.0
20,dissatisfied,Female,Loyal Customer,18,Business travel,Business,2088,3,2,2,2,3,3,3,3,1,4,4,2,3,3,13,0.0
21,satisfied,Male,Loyal Customer,60,Business travel,Business,285,0,0,0,1,5,4,5,1,1,1,1,3,1,4,0,5.0
22,dissatisfied,Female,Loyal Customer,12,Personal Travel,Eco,2004,3,5,3,4,4,3,4,4,3,3,5,4,4,4,0,0.0
23,dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,2432,3,4,2,3,5,2,5,5,4,2,4,3,4,5,0,0.0
24,dissatisfied,Female,disloyal Customer,16,Business travel,Eco,1396,1,2,0,3,3,0,3,3,1,4,3,4,4,3,0,0.0
25,satisfied,Female,Loyal Customer,39,Business travel,Business,2939,1,1,2,1,4,4,4,4,3,4,5,4,5,4,45,28.0
26,satisfied,Female,disloyal Customer,23,Business travel,Eco,3112,5,5,5,3,4,5,4,4,5,2,3,4,5,4,68,58.0
27,dissatisfied,Male,Loyal Customer,47,Business travel,Business,264,1,3,3,3,5,3,3,3,3,4,1,2,3,1,0,0.0
28,dissatisfied,Male,disloyal Customer,45,Business travel,Business,3087,4,4,4,3,3,4,1,3,3,5,4,5,4,3,30,1.0
29,dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,3324,1,5,1,3,2,1,2,2,3,5,4,4,4,2,0,0.0
30,satisfied,Male,Loyal Customer,60,Business travel,Business,2615,2,2,2,2,3,4,4,4,4,4,4,4,4,3,20,29.0
31,satisfied,Male,Loyal Customer,39,Business travel,Business,3710,4,5,4,4,4,5,4,4,4,4,4,5,4,3,6,7.0
32,dissatisfied,Female,Loyal Customer,25,Personal Travel,Eco,2313,3,5,3,5,1,3,2,1,5,3,4,5,5,1,1,11.0
33,dissatisfied,Male,Loyal Customer,56,Business travel,Business,2358,1,5,5,5,1,1,1,3,2,3,4,1,4,1,204,218.0
34,satisfied,Male,Loyal Customer,48,Personal Travel,Eco,1771,4,4,4,3,1,4,1,1,4,4,4,4,4,1,4,0.0
35,dissatisfied,Female,disloyal Customer,33,Business travel,Eco,1516,3,4,2,4,3,2,1,3,3,3,3,4,3,3,4,10.0
