,satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
0,satisfied,Female,Loyal Customer,53,Business travel,Business,3218,1,1,1,1,2,4,5,5,5,5,5,5,5,5,0,0.0
1,dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,2051,1,5,1,1,4,1,4,4,5,2,5,3,5,4,0,0.0
2,satisfied,Male,Loyal Customer,36,Business travel,Business,2354,1,2,1,1,5,5,3,4,4,4,4,5,4,3,0,0.0
3,dissatisfied,Male,Loyal Customer,16,Personal Travel,Eco Plus,1980,2,3,2,3,5,2,5,5,4,1,2,3,2,5,0,0.0
4,satisfied,Female,Loyal Customer,62,Personal Travel,Eco,217,4,4,4,1,4,4,4,4,1,2,5,5,4,4,0,0.0
5,satisfied,Female,Loyal Customer,58,Business travel,Business,3063,4,4,4,4,4,5,5,4,4,4,4,4,4,3,14,0.0
6,dissatisfied,Female,disloyal Customer,36,Business travel,Eco Plus,2035,4,4,4,3,4,4,4,4,5,1,5,3,3,4,0,0.0
7,dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,2212,2,4,1,1,3,1,3,3,3,1,3,2,4,3,94,84.0
8,dissatisfied,Male,Loyal Customer,56,Personal Travel,Eco Plus,2549,2,5,2,3,3,2,3,3,5,3,4,3,4,3,6,0.0
9,dissatisfied,Male,Loyal Customer,60,Business travel,Business,1064,2,3,3,3,2,3,3,2,2,2,2,2,2,1,29,6.0
10,dissatisfied,Male,Loyal Customer,25,Business travel,Business,2316,2,2,2,2,2,2,2,2,4,5,2,2,3,2,26,26.0
11,dissatisfied,Male,Loyal Customer,28,Business travel,Business,2197,2,4,4,4,2,2,2,2,3,5,3,3,3,2,0,0.0
12,dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,1355,4,5,4,4,1,4,1,1,3,5,4,4,4,1,0,0.0
13,satisfied,Male,Loyal Customer,44,Business travel,Business,1865,2,2,5,2,4,4,5,5,5,4,5,5,5,4,0,0.0
14,dissatisfied,Male,Loyal Customer,46,Business travel,Business,3113,1,4,4,4,1,3,3,1,1,1,1,2,1,3,0,0.0
15,satisfied,Female,Loyal Customer,49,Business travel,Business,1092,1,1,1,1,5,5,5,4,4,4,4,3,4,3,23,9.0
16,dissatisfied,Female,disloyal Customer,19,Business travel,Eco,1640,3,1,3,4,1,3,1,1,3,3,3,2,4,1,0,0.0
17,dissatisfied,Female,Loyal Customer,43,Business travel,Eco,984,4,4,4,4,4,4,4,4,4,4,4,1,4,2,15,0.0
18,satisfied,Male,Loyal Customer,54,Business travel,Business,692,2,2,2,2,3,4,4,4,4,4,4,4,4,4,0,0.0
19,satisfied,Female,Loyal Customer,42,Business travel,Business,1392,3,3,3,3,4,5,5,5,5,5,5,4,5,3,0,3.0
20,satisfied,Male,Loyal Customer,57,Business travel,Business,2069,3,3,3,3,5,3,1,5,5,5,5,2,5,4,0,0.0
21,dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,1651,1,5,1,4,1,1,1,1,5,2,1,3,1,1,36,34.0
22,dissatisfied,Male,Loyal Customer,16,Business travel,Business,4689,3,1,1,1,3,2,3,3,1,1,3,2,4,3,0,
23,satisfied,Female,Loyal Customer,52,Personal Travel,Eco Plus,2433,0,0,0,1,5,0,5,5,3,1,5,5,4,5,0,0.0
24,satisfied,Male,Loyal Customer,60,Business travel,Business,259,1,1,1,1,2,5,4,5,5,5,5,4,5,5,0,1.0
25,satisfied,Male,disloyal Customer,25,Business travel,Business,2598,4,0,4,1,5,4,5,5,5,2,4,3,4,5,24,4.0
26,dissatisfied,Female,Loyal Customer,41,Business travel,Business,2841,3,3,3,3,2,4,3,3,3,3,3,2,3,4,0,0.0
27,satisfied,Female,Loyal Customer,59,Personal Travel,Eco,716,0,5,0,4,2,2,2,2,3,5,3,3,4,2,76,83.0
28,dissatisfied,Female,disloyal Customer,37,Business travel,Business,2917,3,3,3,4,4,3,4,4,5,2,4,3,4,4,0,0.0
29,satisfied,Male,Loyal Customer,42,Business travel,Business,1399,1,1,1,1,5,5,4,4,4,4,4,4,4,4,15,0.0
30,satisfied,Male,Loyal Customer,23,Business travel,Business,2093,4,1,4,4,4,4,4,4,5,1,2,2,3,4,0,0.0
31,satisfied,Male,Loyal Customer,51,Business travel,Business,250,4,4,4,4,5,4,5,4,4,4,4,3,4,4,0,0.0
32,satisfied,Female,Loyal Customer,31,Personal Travel,Eco,1482,5,5,5,5,3,2,5,4,4,4,4,3,4,4,0,0.0
33,dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,1839,2,4,2,4,1,2,1,1,4,2,4,1,5,1,0,5.0
34,satisfied,Male,disloyal Customer,22,Business travel,Business,3459,5,5,5,1,1,5,3,1,4,2,4,3,5,1,0,0.0
35,satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2774,5,1,5,3,1,5,1,1,2,1,3,4,3,1,0,16.0
36,dissatisfied,Male,Loyal Customer,24,Personal Travel,Eco Plus,1866,3,2,3,3,4,3,4,4,3,5,3,4,4,4,12,12.0
37,dissatisfied,Male,Loyal Customer,28,Business travel,Business,4710,3,3,3,3,3,2,3,3,4,5,2,1,3,3,10,11.0
38,dissatisfied,Male,Loyal Customer,20,Personal Travel,Eco,3228,1,5,1,2,3,1,3,3,5,3,4,3,4,3,0,0.0
39,dissatisfied,Male,Loyal Customer,10,Personal Travel,Eco,1913,3,5,3,5,5,3,5,5,5,3,4,4,5,5,0,0.0
40,dissatisfied,Female,Loyal Customer,55,Business travel,Business,1143,1,0,0,3,5,3,4,1,1,0,1,4,1,1,45,44.0
41,dissatisfied,Female,disloyal Customer,34,Business travel,Eco,1716,2,1,2,4,2,5,3,3,2,4,3,3,1,3,141,141.0
42,dissatisfied,Female,disloyal Customer,25,Business travel,Eco,1871,1,1,1,5,4,1,1,4,3,2,3,1,5,4,14,2.0
43,satisfied,Male,Loyal Customer,55,Business travel,Business,2549,5,4,5,5,4,4,4,5,5,5,5,4,5,4,14,9.0
44,dissatisfied,Female,disloyal Customer,26,Business travel,Eco Plus,1968,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0
45,dissatisfied,Male,Loyal Customer,68,Personal Travel,Eco,2543,1,4,1,3,2,1,2,2,5,3,4,3,5,2,0,0.0
46,satisfied,Female,disloyal Customer,29,Business travel,Business,1906,4,4,4,2,1,4,1,1,5,3,4,4,5,1,0,83.0
47,dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco Plus,1622,3,3,3,3,4,3,2,4,2,1,3,2,4,4,0,0.0
48,satisfied,Male,disloyal Customer,18,Business travel,Eco,1836,0,0,0,4,2,0,2,2,3,5,4,2,4,2,3,0.0
49,satisfied,Female,Loyal Customer,66,Personal Travel,Eco,658,0,5,0,4,3,5,5,3,3,5,5,4,3,3,0,3.0
50,dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco Plus,2079,3,1,3,2,2,3,2,2,4,2,2,4,2,2,0,0.0
51,dissatisfied,Female,disloyal Customer,42,Business travel,Eco,1600,2,2,2,3,1,2,1,1,3,3,4,4,3,1,10,0.0
52,dissatisfied,Female,Loyal Customer,58,Business travel,Business,1956,2,5,5,5,1,4,3,2,2,2,2,2,2,4,0,0.0
53,dissatisfied,Male,disloyal Customer,57,Business travel,Eco,2992,2,2,2,4,3,2,4,3,1,3,3,4,3,3,0,0.0
54,satisfied,Male,Loyal Customer,22,Business travel,Eco,1394,5,2,2,2,5,5,3,5,4,3,2,5,5,5,16,28.0
55,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,1386,0,1,1,1,3,4,4,3,3,3,3,5,3,4,0,0.0
56,satisfied,Female,Loyal Customer,35,Business travel,Eco,1548,3,1,1,1,3,3,3,3,1,2,3,4,2,3,3,2.0
57,satisfied,Female,Loyal Customer,38,Personal Travel,Eco,1195,5,4,4,4,3,3,3,5,5,5,5,5,5,5,0,0.0
58,dissatisfied,Male,Loyal Customer,19,Personal Travel,Eco,2384,2,4,3,2,4,3,4,4,3,2,4,3,5,4,0,0.0
59,dissatisfied,Male,Loyal Customer,55,Personal Travel,Eco Plus,3532,3,2,3,2,5,3,5,5,1,3,2,4,3,5,1,0.0
60,dissatisfied,Female,disloyal Customer,38,Business travel,Business,1602,4,4,4,1,2,4,2,2,5,3,5,3,4,2,3,0.0
61,dissatisfied,Female,Loyal Customer,41,Business travel,Business,2334,2,3,3,3,1,4,3,2,2,3,2,4,2,3,82,100.0
62,dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,2198,3,1,2,4,2,2,2,2,4,2,4,2,4,2,7,12.0
63,satisfied,Female,Loyal Customer,12,Personal Travel,Eco,3442,4,4,4,4,3,5,5,5,5,5,5,4,5,5,0,0.0
64,satisfied,Female,Loyal Customer,39,Personal Travel,Business,342,5,4,5,3,3,4,4,2,2,5,2,4,2,3,0,0.0
65,satisfied,Female,Loyal Customer,9,Personal Travel,Eco,1920,5,4,5,3,4,4,3,2,2,5,2,4,2,1,0,0.0
66,dissatisfied,Male,Loyal Customer,42,Business travel,Business,2259,1,1,1,1,3,2,2,3,3,3,1,4,3,1,56,51.0
67,satisfied,Male,Loyal Customer,55,Business travel,Business,389,4,4,4,4,3,5,4,4,4,4,4,3,4,3,0,0.0
68,satisfied,Female,Loyal Customer,47,Business travel,Business,997,4,4,4,4,3,5,5,5,5,5,5,4,5,3,0,0.0
69,satisfied,Female,Loyal Customer,49,Business travel,Business,2925,5,5,4,5,3,4,4,5,5,5,5,5,5,4,0,0.0
70,dissatisfied,Male,disloyal Customer,20,Business travel,Eco,2330,4,4,4,3,2,4,2,2,4,2,3,3,4,2,3,0.0
71,satisfied,Female,Loyal Customer,52,Business travel,Business,3302,5,5,5,5,3,5,5,3,3,3,3,5,3,3,5,0.0
72,dissatisfied,Female,Loyal Customer,29,Business travel,Business,2265,2,5,4,5,2,2,2,2,2,1,4,4,3,2,27,35.0
