Country,Province,Date,Confirmed,Deaths
Japan,,2020-05-15,16203,713
Japan,,2020-03-08,502,6
Japan,,2020-04-13,7370,123
Japan,Aichi,2020-06-07,510,34
Japan,Akita,2020-06-07,16,0
Japan,Aomori,2020-06-07,27,1
Japan,Chiba,2020-06-07,912,45
Japan,Ehime,2020-06-07,82,4
Japan,Fukui,2020-06-07,122,8
Japan,Fukuoka,2020-06-07,799,28
Japan,Fukushima,2020-06-07,81,0
Japan,Gifu,2020-06-07,151,7
Japan,Gunma,2020-06-07,151,19
Japan,Hiroshima,2020-06-07,165,3
Japan,Hokkaido,2020-06-07,1112,90
Japan,Hyogo,2020-06-07,699,42
Japan,Ibaraki,2020-06-07,168,10
Japan,Ishikawa,2020-06-07,299,27
Japan,Kagawa,2020-06-07,28,0
Japan,Kagoshima,2020-06-07,10,0
Japan,Kanagawa,2020-06-07,1396,88
Japan,Kochi,2020-06-07,74,3
Japan,Kumamoto,2020-06-07,47,3
Japan,Kyoto,2020-06-07,359,18
Japan,Mie,2020-06-07,45,1
Japan,Miyagi,2020-06-07,88,1
Japan,Miyazaki,2020-06-07,17,0
Japan,Nagano,2020-06-07,75,0
Japan,Nagasaki,2020-06-07,17,1
Japan,Nara,2020-06-07,92,2
Japan,Niigata,2020-06-07,82,0
Japan,Oita,2020-06-07,60,1
Japan,Okayama,2020-06-07,25,0
Japan,Okinawa,2020-06-07,145,6
Japan,Osaka,2020-06-07,1785,84
Japan,Port Quarantine,2020-06-07,216,0
Japan,Saga,2020-06-07,45,0
Japan,Saitama,2020-06-07,1007,51
Japan,Shiga,2020-06-07,100,1
Japan,Shimane,2020-06-07,24,0
Japan,Shizuoka,2020-06-07,76,1
Japan,Tochigi,2020-06-07,66,0
Japan,Tokushima,2020-06-07,5,1
Japan,Tokyo,2020-06-07,5387,311
Japan,Tottori,2020-06-07,3,0
Japan,Toyama,2020-06-07,227,22
Japan,Unknown,2020-06-07,8,0
Japan,Wakayama,2020-06-07,63,3
Japan,Yamagata,2020-06-07,69,0
Japan,Yamaguchi,2020-06-07,37,0
Japan,Yamanashi,2020-06-07,67,1
Japan,Aichi,2020-11-15,7712,96
Japan,Akita,2020-11-15,73,0
Japan,Aomori,2020-11-15,278,6
Japan,Chiba,2020-11-15,5782,84
Japan,Ehime,2020-11-15,129,6
Japan,Fukui,2020-11-15,272,11
Japan,Fukuoka,2020-11-15,5373,103
Japan,Fukushima,2020-11-15,438,6
Japan,Gifu,2020-11-15,809,12
Japan,Gunma,2020-11-15,956,20
Japan,Hiroshima,2020-11-15,697,5
Japan,Hokkaido,2020-11-15,5483,126
Japan,Hyogo,2020-11-15,3974,70
Japan,Ibaraki,2020-11-15,967,19
Japan,Ishikawa,2020-11-15,830,49
Japan,Iwate,2020-11-15,75,0
Japan,Kagawa,2020-11-15,115,2
Japan,Kagoshima,2020-11-15,557,15
Japan,Kanagawa,2020-11-15,10173,183
Japan,Kochi,2020-11-15,144,4
Japan,Kumamoto,2020-11-15,915,10
Japan,Kyoto,2020-11-15,2296,33
Japan,Mie,2020-11-15,619,6
Japan,Miyagi,2020-11-15,989,7
Japan,Miyazaki,2020-11-15,373,1
Japan,Nagano,2020-11-15,460,6
Japan,Nagasaki,2020-11-15,251,3
Japan,Nara,2020-11-15,844,11
Japan,Niigata,2020-11-15,226,0
Japan,Oita,2020-11-15,164,3
Japan,Okayama,2020-11-15,396,10
Japan,Okinawa,2020-11-15,3744,66
Japan,Osaka,2020-11-15,15421,254
Japan,Port Quarantine,2020-11-15,1354,1
Japan,Saga,2020-11-15,276,1
Japan,Saitama,2020-11-15,6823,118
Japan,Shiga,2020-11-15,663,9
Japan,Shimane,2020-11-15,141,0
Japan,Shizuoka,2020-11-15,882,4
Japan,Tochigi,2020-11-15,516,2
Japan,Tokushima,2020-11-15,171,9
Japan,Tokyo,2020-11-15,34789,464
Japan,Tottori,2020-11-15,52,0
Japan,Toyama,2020-11-15,428,26
Japan,Unknown,2020-11-15,8,0
Japan,Wakayama,2020-11-15,326,4
Japan,Yamagata,2020-11-15,98,1
Japan,Yamaguchi,2020-11-15,266,2
Japan,Yamanashi,2020-11-15,283,6
Japan,Aichi,2020-10-23,5818,91
Japan,Akita,2020-10-23,61,0
Japan,Aomori,2020-10-23,158,1
Japan,Chiba,2020-10-23,4735,76
Japan,Ehime,2020-10-23,116,6
Japan,Fukui,2020-10-23,256,11
Japan,Fukuoka,2020-10-23,5178,101
Japan,Fukushima,2020-10-23,379,6
Japan,Gifu,2020-10-23,668,11
Japan,Gunma,2020-10-23,839,19
Japan,Hiroshima,2020-10-23,651,5
Japan,Hokkaido,2020-10-23,2692,108
Japan,Hyogo,2020-10-23,3079,60
Japan,Ibaraki,2020-10-23,737,19
Japan,Ishikawa,2020-10-23,798,49
Japan,Iwate,2020-10-23,27,0
Japan,Kagawa,2020-10-23,102,2
Japan,Kagoshima,2020-10-23,463,12
Japan,Kanagawa,2020-10-23,8255,161
Japan,Kochi,2020-10-23,140,4
Japan,Kumamoto,2020-10-23,767,8
Japan,Kyoto,2020-10-23,1966,30
Japan,Mie,2020-10-23,554,6
Japan,Miyagi,2020-10-23,565,2
Japan,Miyazaki,2020-10-23,366,1
Japan,Nagano,2020-10-23,329,4
Japan,Nagasaki,2020-10-23,243,3
Japan,Nara,2020-10-23,624,9
Japan,Niigata,2020-10-23,180,0
Japan,Oita,2020-10-23,159,2
Japan,Okayama,2020-10-23,194,1
Japan,Okinawa,2020-10-23,3097,58
Japan,Osaka,2020-10-23,11880,232
Japan,Port Quarantine,2020-10-23,1121,1
Japan,Saga,2020-10-23,251,1
Japan,Saitama,2020-10-23,5562,104
Japan,Shiga,2020-10-23,535,9
Japan,Shimane,2020-10-23,140,0
Japan,Shizuoka,2020-10-23,588,2
Japan,Tochigi,2020-10-23,476,1
Japan,Tokushima,2020-10-23,164,9
Japan,Tokyo,2020-10-23,29722,442
Japan,Tottori,2020-10-23,35,0
Japan,Toyama,2020-10-23,422,26
Japan,Unknown,2020-10-23,8,0
Japan,Wakayama,2020-10-23,268,4
Japan,Yamagata,2020-10-23,84,1
Japan,Yamaguchi,2020-10-23,213,2
Japan,Yamanashi,2020-10-23,203,6
Japan,Aichi,2020-08-18,3843,46
Japan,Akita,2020-08-18,44,0
Japan,Aomori,2020-08-18,36,1
Japan,Chiba,2020-08-18,2530,58
Japan,Ehime,2020-08-18,110,6
Japan,Fukui,2020-08-18,155,8
Japan,Fukuoka,2020-08-18,3729,45
Japan,Fukushima,2020-08-18,109,0
Japan,Gifu,2020-08-18,520,8
Japan,Gunma,2020-08-18,322,19
Japan,Hiroshima,2020-08-18,434,3
Japan,Hokkaido,2020-08-18,1627,103
Japan,Hyogo,2020-08-18,1951,48
Japan,Ibaraki,2020-08-18,463,10
Japan,Ishikawa,2020-08-18,486,29
Japan,Iwate,2020-08-18,9,0
Japan,Kagawa,2020-08-18,68,1
Japan,Kagoshima,2020-08-18,335,7
Japan,Kanagawa,2020-08-18,3990,106
Japan,Kochi,2020-08-18,103,3
Japan,Kumamoto,2020-08-18,416,7
